ID: 254, Nota Finala: 46
ID: 291, Nota Finala: 18
ID: 294, Nota Finala: 18
ID: 322, Nota Finala: 18
ID: 324, Nota Finala: 18
ID: 345, Nota Finala: 18
ID: 365, Nota Finala: 18
ID: 435, Nota Finala: 18
ID: 457, Nota Finala: 18
ID: 45, Nota Finala: 17
ID: 64, Nota Finala: 17
ID: 66, Nota Finala: 17
ID: 80, Nota Finala: 17
ID: 143, Nota Finala: 17
ID: 164, Nota Finala: 17
ID: 167, Nota Finala: 17
ID: 171, Nota Finala: 17
ID: 184, Nota Finala: 17
ID: 230, Nota Finala: 17
ID: 266, Nota Finala: 17
ID: 286, Nota Finala: 17
ID: 331, Nota Finala: 17
ID: 346, Nota Finala: 17
ID: 372, Nota Finala: 17
ID: 381, Nota Finala: 17
ID: 394, Nota Finala: 17
ID: 26, Nota Finala: 16
ID: 31, Nota Finala: 16
ID: 47, Nota Finala: 16
ID: 74, Nota Finala: 16
ID: 123, Nota Finala: 16
ID: 126, Nota Finala: 16
ID: 157, Nota Finala: 16
ID: 166, Nota Finala: 16
ID: 172, Nota Finala: 16
ID: 183, Nota Finala: 16
ID: 206, Nota Finala: 16
ID: 313, Nota Finala: 16
ID: 320, Nota Finala: 16
ID: 302, Nota Finala: 16
ID: 388, Nota Finala: 16
ID: 437, Nota Finala: 16
ID: 459, Nota Finala: 16
ID: 486, Nota Finala: 16
ID: 487, Nota Finala: 16
ID: 491, Nota Finala: 16
ID: 8, Nota Finala: 15
ID: 20, Nota Finala: 15
ID: 59, Nota Finala: 15
ID: 62, Nota Finala: 15
ID: 88, Nota Finala: 15
ID: 110, Nota Finala: 15
ID: 124, Nota Finala: 15
ID: 176, Nota Finala: 15
ID: 210, Nota Finala: 15
ID: 232, Nota Finala: 15
ID: 239, Nota Finala: 15
ID: 261, Nota Finala: 15
ID: 280, Nota Finala: 15
ID: 326, Nota Finala: 15
ID: 329, Nota Finala: 15
ID: 353, Nota Finala: 15
ID: 359, Nota Finala: 15
ID: 367, Nota Finala: 15
ID: 425, Nota Finala: 15
ID: 11, Nota Finala: 14
ID: 44, Nota Finala: 14
ID: 102, Nota Finala: 14
ID: 122, Nota Finala: 14
ID: 125, Nota Finala: 14
ID: 129, Nota Finala: 14
ID: 173, Nota Finala: 14
ID: 204, Nota Finala: 14
ID: 213, Nota Finala: 14
ID: 218, Nota Finala: 14
ID: 258, Nota Finala: 14
ID: 297, Nota Finala: 14
ID: 499, Nota Finala: 14
ID: 34, Nota Finala: 13
ID: 71, Nota Finala: 13
ID: 78, Nota Finala: 13
ID: 203, Nota Finala: 13
ID: 305, Nota Finala: 13
ID: 371, Nota Finala: 13
ID: 439, Nota Finala: 13
ID: 484, Nota Finala: 13
ID: 10, Nota Finala: 12
ID: 76, Nota Finala: 12
ID: 83, Nota Finala: 12
ID: 163, Nota Finala: 12
ID: 251, Nota Finala: 12
ID: 252, Nota Finala: 12
ID: 191, Nota Finala: 12
ID: 278, Nota Finala: 12
ID: 342, Nota Finala: 12
ID: 344, Nota Finala: 12
ID: 370, Nota Finala: 12
ID: 383, Nota Finala: 12
ID: 404, Nota Finala: 12
ID: 489, Nota Finala: 12
ID: 38, Nota Finala: 11
ID: 87, Nota Finala: 11
ID: 113, Nota Finala: 11
ID: 155, Nota Finala: 11
ID: 197, Nota Finala: 11
ID: 189, Nota Finala: 11
ID: 255, Nota Finala: 11
ID: 268, Nota Finala: 11
ID: 224, Nota Finala: 11
ID: 303, Nota Finala: 11
ID: 306, Nota Finala: 11
ID: 356, Nota Finala: 11
ID: 463, Nota Finala: 11
ID: 470, Nota Finala: 11
ID: 13, Nota Finala: 10
ID: 21, Nota Finala: 10
ID: 36, Nota Finala: 10
ID: 54, Nota Finala: 10
ID: 94, Nota Finala: 10
ID: 99, Nota Finala: 10
ID: 207, Nota Finala: 10
ID: 212, Nota Finala: 10
ID: 216, Nota Finala: 10
ID: 234, Nota Finala: 10
ID: 256, Nota Finala: 10
ID: 257, Nota Finala: 10
ID: 333, Nota Finala: 10
ID: 348, Nota Finala: 10
ID: 363, Nota Finala: 10
ID: 296, Nota Finala: 10
ID: 400, Nota Finala: 10
ID: 426, Nota Finala: 10
ID: 488, Nota Finala: 10
ID: 492, Nota Finala: 10
ID: 91, Nota Finala: 9
ID: 93, Nota Finala: 9
ID: 97, Nota Finala: 9
ID: 98, Nota Finala: 9
ID: 109, Nota Finala: 9
ID: 112, Nota Finala: 9
ID: 115, Nota Finala: 9
ID: 116, Nota Finala: 9
ID: 154, Nota Finala: 9
ID: 169, Nota Finala: 9
ID: 186, Nota Finala: 9
ID: 248, Nota Finala: 9
ID: 253, Nota Finala: 9
ID: 265, Nota Finala: 9
ID: 195, Nota Finala: 9
ID: 338, Nota Finala: 9
ID: 407, Nota Finala: 9
ID: 418, Nota Finala: 9
ID: 433, Nota Finala: 9
ID: 460, Nota Finala: 9
ID: 6, Nota Finala: 8
ID: 18, Nota Finala: 8
ID: 37, Nota Finala: 8
ID: 40, Nota Finala: 8
ID: 52, Nota Finala: 8
ID: 120, Nota Finala: 8
ID: 168, Nota Finala: 8
ID: 198, Nota Finala: 8
ID: 249, Nota Finala: 8
ID: 193, Nota Finala: 8
ID: 284, Nota Finala: 8
ID: 292, Nota Finala: 8
ID: 319, Nota Finala: 8
ID: 295, Nota Finala: 8
ID: 340, Nota Finala: 8
ID: 351, Nota Finala: 8
ID: 357, Nota Finala: 8
ID: 390, Nota Finala: 8
ID: 396, Nota Finala: 8
ID: 443, Nota Finala: 8
ID: 451, Nota Finala: 8
ID: 478, Nota Finala: 8
ID: 493, Nota Finala: 8
ID: 55, Nota Finala: 7
ID: 81, Nota Finala: 7
ID: 86, Nota Finala: 7
ID: 170, Nota Finala: 7
ID: 174, Nota Finala: 7
ID: 196, Nota Finala: 7
ID: 228, Nota Finala: 7
ID: 304, Nota Finala: 7
ID: 330, Nota Finala: 7
ID: 336, Nota Finala: 7
ID: 298, Nota Finala: 7
ID: 403, Nota Finala: 7
ID: 405, Nota Finala: 7
ID: 412, Nota Finala: 7
ID: 477, Nota Finala: 7
ID: 4, Nota Finala: 6
ID: 9, Nota Finala: 6
ID: 46, Nota Finala: 6
ID: 96, Nota Finala: 6
ID: 127, Nota Finala: 6
ID: 141, Nota Finala: 6
ID: 149, Nota Finala: 6
ID: 178, Nota Finala: 6
ID: 208, Nota Finala: 6
ID: 272, Nota Finala: 6
ID: 274, Nota Finala: 6
ID: 376, Nota Finala: 6
ID: 440, Nota Finala: 6
ID: 465, Nota Finala: 6
ID: 490, Nota Finala: 6
ID: 17, Nota Finala: 5
ID: 35, Nota Finala: 5
ID: 151, Nota Finala: 5
ID: 158, Nota Finala: 5
ID: 201, Nota Finala: 5
ID: 211, Nota Finala: 5
ID: 221, Nota Finala: 5
ID: 225, Nota Finala: 5
ID: 231, Nota Finala: 5
ID: 307, Nota Finala: 5
ID: 341, Nota Finala: 5
ID: 343, Nota Finala: 5
ID: 379, Nota Finala: 5
ID: 496, Nota Finala: 5
ID: 61, Nota Finala: 4
ID: 72, Nota Finala: 4
ID: 147, Nota Finala: 4
ID: 162, Nota Finala: 4
ID: 310, Nota Finala: 4
ID: 314, Nota Finala: 4
ID: 360, Nota Finala: 4
ID: 416, Nota Finala: 4
ID: 434, Nota Finala: 4
ID: 447, Nota Finala: 4
ID: 471, Nota Finala: 4
ID: 2, Nota Finala: 3
ID: 5, Nota Finala: 3
ID: 19, Nota Finala: 3
ID: 29, Nota Finala: 3
ID: 144, Nota Finala: 3
ID: 146, Nota Finala: 3
ID: 264, Nota Finala: 3
ID: 309, Nota Finala: 3
ID: 332, Nota Finala: 3
ID: 364, Nota Finala: 3
ID: 386, Nota Finala: 3
ID: 399, Nota Finala: 3
ID: 483, Nota Finala: 3
ID: 16, Nota Finala: 2
ID: 24, Nota Finala: 2
ID: 42, Nota Finala: 2
ID: 82, Nota Finala: 2
ID: 181, Nota Finala: 2
ID: 187, Nota Finala: 2
ID: 242, Nota Finala: 2
ID: 267, Nota Finala: 2
ID: 318, Nota Finala: 2
ID: 349, Nota Finala: 2
ID: 421, Nota Finala: 2
ID: 423, Nota Finala: 2
ID: 450, Nota Finala: 2
ID: 39, Nota Finala: 1
ID: 48, Nota Finala: 1
ID: 63, Nota Finala: 1
ID: 137, Nota Finala: 1
ID: 165, Nota Finala: 1
ID: 240, Nota Finala: 1
ID: 269, Nota Finala: 1
ID: 374, Nota Finala: 1
ID: 382, Nota Finala: 1
ID: 385, Nota Finala: 1
ID: 392, Nota Finala: 1
ID: 111, Nota Finala: 0
ID: 128, Nota Finala: 0
ID: 323, Nota Finala: 0
ID: 466, Nota Finala: 0
